,Date,start,end,INP,T,INP_plus,INP_minus
413,2016-09-30 00:00:00,2016-09-30 10:19:00,2016-09-30 13:19:00,0.685755322066,-20.0,1.30497707475,0.284311347156
415,2016-10-03 00:00:00,2016-10-03 10:32:00,2016-10-03 13:35:00,0.512892247358,-20.0,0.781341326227,0.30336630582
416,2016-10-03 00:00:00,2016-10-03 13:35:00,2016-10-03 16:36:00,1.76639659062,-20.0,2.36439240084,1.25706938948
419,2016-10-04 00:00:00,2016-10-04 10:33:00,2016-10-04 13:20:00,2.80412882729,-20.0,4.23916693389,1.67580529155
420,2016-10-05 00:00:00,2016-10-05 13:39:00,2016-10-05 14:39:00,11.0676789422,-20.0,15.6139297003,7.32176151754
421,2016-10-05 00:00:00,2016-10-05 11:16:00,2016-10-05 15:59:00,11.3741195225,-20.0,13.0848547605,9.7991298675
423,2016-10-06 00:00:00,2016-10-06 14:24:00,2016-10-06 16:54:00,0.698731424532,-20.0,1.38844997342,0.27579065342
424,2016-10-06 00:00:00,2016-10-06 11:40:00,2016-10-06 14:10:00,0.163270062493,-20.0,0.308844124606,0.0689173337123
425,2016-10-06 00:00:00,2016-10-06 14:24:00,2016-10-06 16:54:00,7.24584073717,-20.0,9.52277003873,5.28904476896
426,2016-10-06 00:00:00,2016-10-06 11:39:00,2016-10-06 14:13:00,1.32387751675,-20.0,1.85419683684,0.886916933732
427,2016-10-06 00:00:00,2016-10-06 14:20:00,2016-10-06 16:58:00,3.91811915961,-20.0,4.76661826664,3.15839588159
428,2016-10-07 00:00:00,2016-10-07 10:41:00,2016-10-07 12:41:00,1.60571116829,-20.0,2.91471912243,0.717931284331
429,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,0.835896750493,-20.0,1.64647049282,0.339179217318
432,2016-10-10 00:00:00,2016-10-10 12:39:00,2016-10-10 13:39:00,1.93144905836,-20.0,4.04171165497,0.735853128423
433,2016-10-10 00:00:00,2016-10-10 13:50:00,2016-10-10 16:36:00,0.430920075506,-20.0,0.984401332167,0.118503075873
434,2016-10-10 00:00:00,2016-10-10 11:29:00,2016-10-10 16:36:00,0.502459231274,-20.0,0.889781045397,0.251152145943
