OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.51104,7.054,4.031,5.039,4.031,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,6,6.67,9.67,0,23.178,0.992,4.07,x,1.51,5.67,7.72,1.12,4.37,10.13
42643.51105,17.126,4.03,8.059,1.007,1.007,2.015,1.007,0,0,0,0,0,0,0,0,0,5.33,8.33,7,0,34.251,0.993,4.1,x,1.71,6.25,8.53,1.13,4.39,10.12
42643.51106,7.054,5.038,7.054,1.008,4.031,0,0,0,0,0,0,0,0,0,0,0,5,6.33,0,0,24.184,0.992,4.15,x,1.58,4.15,4.4,1.13,4.39,10.06
42643.51107,8.062,4.031,1.008,2.015,0,2.015,0,0,0,0,0,0,0,0,0,0,5.33,7,7,0,17.131,0.992,4.18,x,0.84,3.1,3.66,1.13,4.38,10
42643.51109,8.062,7.054,8.062,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,6,7,7.67,0,27.21,0.992,4.17,x,1.57,5.19,7.16,1.13,4.38,9.97
42643.5111,10.078,6.047,4.031,3.023,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6,8.67,7,0,25.196,0.992,4.17,x,1.39,3.69,4.05,1.13,4.38,9.91
42643.51111,11.085,6.046,3.023,2.015,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,7,9.67,8.33,9,25.193,0.992,4.1,x,1.16,5.93,14.42,1.13,4.39,9.95
42643.51112,7.053,5.038,3.023,3.023,0,1.008,0,0,0,0,0,0,0,0,0,0,4.67,7,8.33,0,19.145,0.992,4.17,x,1.08,2.84,3.15,1.13,4.38,9.89
42643.51113,5.038,6.046,1.008,2.015,0,1.008,1.008,0,0,0,0,0,0,0,0,0,4.67,6.67,8.33,0,16.122,0.992,4.25,x,0.82,3.68,5.56,1.13,4.37,9.85
42643.51114,10.078,5.039,7.055,0,3.024,1.008,0,0,0,0,0,0,0,0,0,0,5.33,0,7.67,0,26.204,0.992,4.28,x,1.46,4.13,4.57,1.13,4.37,9.8
42643.51116,11.084,6.046,8.061,3.023,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,5,5,6.33,7,31.237,0.992,4.33,x,1.72,5.75,12.28,1.14,4.38,9.82
42643.51117,8.061,2.015,2.015,0,1.008,0,1.008,0,0,1.008,0,0,0,0,0,0,5.33,0,0,0,15.115,0.992,4.34,x,0.56,3.24,33.98,1.13,4.37,10.04
42643.51118,10.076,9.069,8.061,3.023,0,0,1.008,0,0,0,0,0,0,0,0,0,5.33,6.67,0,0,31.237,0.992,4.37,x,1.67,4.29,5.88,1.14,4.37,10.01
