,# temperatures,INP,ff,K,date
25,-24.95,0.0,0.464285714286,591.36448625,2016-10-19
26,-25.41,0.0,0.482142857143,624.154309073,2016-10-19
27,-25.53,0.0,0.5,658.055860749,2016-10-19
28,-25.61,0.0,0.517857142857,693.14718056,2016-10-19
29,-25.72,0.0,0.535714285714,729.514824731,2016-10-19
30,-25.83,0.0,0.553571428571,767.255152714,2016-10-19
31,-25.83,0.0,0.571428571429,806.475865867,2016-10-19
32,-25.9,0.0,0.589285714286,847.297860387,2016-10-19
33,-25.97,0.0,0.607142857143,889.857474806,2016-10-19
34,-26.0,0.0,0.625,934.309237377,2016-10-19
35,-26.11,0.0,0.642857142857,980.829253012,2016-10-19
36,-26.11,0.0,0.660714285714,1029.61941718,2016-10-19
37,-26.16,0.0,0.678571428571,1080.91271157,2016-10-19
38,-26.17,0.0,0.696428571429,1134.97993284,2016-10-19
39,-26.21,0.0,0.714285714286,1192.13834668,2016-10-19
40,-26.28,0.0,0.732142857143,1252.7629685,2016-10-19
41,-26.41,0.0,0.75,1317.30148963,2016-10-19
42,-26.48,0.0,0.767857142857,1386.29436112,2016-10-19
43,-26.57,0.0,0.785714285714,1460.40233327,2016-10-19
44,-26.77,0.0,0.803571428571,1540.44504095,2016-10-19
45,-26.91,0.0,0.821428571429,1627.45641794,2016-10-19
46,-26.93,0.0,0.839285714286,1722.76659774,2016-10-19
47,-27.27,0.0,0.857142857143,1828.1271134,2016-10-19
48,-27.34,0.0,0.875,1945.91014906,2016-10-19
49,-27.91,0.0,0.892857142857,2079.44154168,2016-10-19
50,-28.07,0.0,0.910714285714,2233.59222151,2016-10-19
51,-28.07,0.0,0.928571428571,2415.9137783,2016-10-19
52,-28.61,0.0,0.946428571429,2639.05732962,2016-10-19
53,-28.61,0.0,0.964285714286,2926.73940207,2016-10-19
54,-29.28,0.0,0.982142857143,3332.20451018,2016-10-19
55,-29.64,0.0,1.0,4025.35169074,2016-10-19
0,-22.5,0.0,0.0204081632653,-0.0,2016-10-20
1,-23.07,0.0,0.0408163265306,20.6192872027,2016-10-20
2,-23.3,0.0,0.0612244897959,41.6726964006,2016-10-20
3,-23.3,0.0,0.0816326530612,63.1789016215,2016-10-20
4,-23.39,0.0,0.102040816327,85.1578083403,2016-10-20
5,-23.49,0.0,0.122448979592,107.630664192,2016-10-20
